Node,Node Name,Appear in
"('UBERON:0002013', ())",superior hypogastric nerve plexus,"ilxtr:sparc-nlp/prostate/15
ilxtr:sparc-nlp/semves/5"
"('ILX:0793880', ())",Intermediolateral nucleus of third sacral segment,ilxtr:sparc-nlp/prostate/17
"('ILX:0793881', ())",Intermediolateral nucleus of fourth sacral segment,ilxtr:sparc-nlp/prostate/17
"('ILX:0793879', ())",Intermediolateral nucleus of second sacral segment,ilxtr:sparc-nlp/prostate/17
"('UBERON:0011929', ())",postganglionic parasympathetic fiber,"ilxtr:sparc-nlp/prostate/18
ilxtr:sparc-nlp/semves/4a
ilxtr:sparc-nlp/semves/8
ilxtr:sparc-nlp/prostate/14
ilxtr:sparc-nlp/semves/4"
"('ILX:0793884', ())",first accessory pelvic ganglion,"ilxtr:sparc-nlp/semves/2
ilxtr:sparc-nlp/semves/2a
ilxtr:sparc-nlp/semves/4a
ilxtr:sparc-nlp/semves/4"
"('UBERON:0004805', ())",seminal vesicle epithelium,"ilxtr:sparc-nlp/semves/2
ilxtr:sparc-nlp/semves/4"
"('UBERON:0004665', ())",muscular coat of seminal vesicle,"ilxtr:sparc-nlp/semves/6
ilxtr:sparc-nlp/semves/2a
ilxtr:sparc-nlp/semves/4a"
"('UBERON:0006463', ())",fourth sacral spinal cord segment,ilxtr:sparc-nlp/semves/7
"('UBERON:0000998', ())",seminal vesicle,ilxtr:sparc-nlp/semves/8
